Datetime,Rsl_1,Rsl_2,Rsl_3,flow_spill_Rsl_1,flow_spill_Rsl_2,flow_spill_Rsl_3
2006-10-22T00:00:00,17210.515041203293,56929.550793479226,33119.980695164355,350.9684526852181,1251.2995752577388,792.815278366387
2006-10-23T00:00:00,16933.92700285002,55992.134893095565,32464.07301391147,276.58803835327126,937.4159003836585,655.9076812528843
2006-10-24T00:00:00,16615.27225858823,55005.104597677564,31652.464200834405,318.65474426179355,987.0302954179979,811.6088130770673
2006-10-25T00:00:00,16340.940000000004,54803.034,30831.456083342935,274.33225858822675,202.0705976775601,821.0081174914693
2006-10-26T00:00:00,16340.940000000004,54803.034,30199.635074850325,0.0,0.0,631.8210084926095
2006-10-27T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,149.2830748503214
2006-10-28T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,1.0736104966217047e-12
2006-10-29T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-10-30T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-10-31T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-01T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-02T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-03T00:00:00,19904.940000000002,68000.634,37696.75200000001,0.0,0.0,0.0
2006-11-04T00:00:00,19904.940000000002,68000.634,37696.75200000001,0.0,0.0,0.0
2006-11-05T00:00:00,19145.029498633627,65008.43330173345,36192.97587207593,759.9105013663742,2992.200698266553,1503.7761279240792
2006-11-06T00:00:00,18398.249200314618,62067.93369544559,34715.182916988546,746.7802983190071,2940.4996062878645,1477.7929550873778
2006-11-07T00:00:00,17776.822858412335,59637.340684081006,33475.571353220155,621.4263419022825,2430.593011364578,1239.6115637683886
2006-11-08T00:00:00,17205.86109841669,57434.07356624818,32319.238746970736,570.9617599956429,2203.2671178328255,1156.332606249419
2006-11-09T00:00:00,16795.037166617625,55888.1650540526,31465.40882219369,410.82393179906745,1545.908512195579,853.8299247770428
2006-11-10T00:00:00,16433.670125147688,54803.034,30669.897317830684,361.36704146993793,1085.1310540526008,795.511504363006
2006-11-11T00:00:00,16340.940000000004,54803.034,30107.10426242844,92.73012514768817,-1.5821628371267229e-12,562.7930554022441
2006-11-12T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,56.7522624284331
2006-11-13T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,-1.9635770925054863e-12
2006-11-14T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-15T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-16T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-17T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-18T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-19T00:00:00,16340.940000000004,54803.034,30050.352000000006,0.0,0.0,0.0
2006-11-20T00:00:00,20083.140000000003,68660.514,38079.07200000001,0.0,0.0,0.0
2006-11-21T00:00:00,30181.140000000003,106053.714,59743.87200000001,0.0,0.0,0.0
2006-11-22T00:00:00,29489.699009840773,103331.11678645384,58375.58921801444,691.4409901592286,2722.5972135461648,1368.282781985575
2006-11-23T00:00:00,28325.493973943023,98746.97810818182,56071.760362058194,1164.205035897749,4584.138678272023,2303.8288559562457
2006-11-24T00:00:00,27176.40222138358,94226.22062350328,53795.46255122522,1149.0917525594425,4520.757484678541,2276.2978108329753
2006-11-25T00:00:00,26059.36907523185,89839.18750041576,51578.05556277129,1117.03314615173,4387.0331230875145,2217.4069884539254
2006-11-26T00:00:00,24985.729581102572,85631.66074209576,49441.344136718035,1073.639494129277,4207.526758320009,2136.711426053255
2006-11-27T00:00:00,24464.50966669952,83484.64817406364,48480.52796184494,1055.8199144030546,4126.652568032117,2107.7761748730945
2006-11-28T00:00:00,23407.860631121213,79368.48810116097,46363.099287332894,1056.649035578305,4116.160072902667,2117.428674512051
2006-11-29T00:00:00,22434.05718295207,75586.7404474537,44404.970263457064,973.8034481691415,3781.7476537072625,1958.1290238758288
2006-11-30T00:00:00,21466.421483812406,71848.5300636229,42448.18971472682,967.6356991396631,3738.210383830807,1956.78054873025
2006-12-01T00:00:00,20486.551714424837,68088.50692878586,40452.65026968534,979.8697693875694,3760.0231348370294,1995.5394450414756
2006-12-02T00:00:00,19694.788889013198,65079.608840202025,38824.48974014901,791.7628254116377,3008.8980885838373,1628.1605295363331
2006-12-03T00:00:00,19028.330107509002,62585.55006658253,37434.03553733483,666.4587815041948,2494.0587736194934,1390.4542028141768
2006-12-04T00:00:00,18423.070483369447,60366.222388252834,36148.64687780133,605.2596241395537,2219.327678329698,1285.3886595335023
2006-12-05T00:00:00,21849.86980788855,73148.6745240947,43482.78267078722,671.8006754808979,2394.7878641581297,1459.224207014109
2006-12-06T00:00:00,21618.284867574777,72446.5309748757,42934.570700014105,528.5849403137736,1801.943549219008,1185.4119707731147
2006-12-07T00:00:00,25826.649686565666,87969.00338183503,52014.98686078158,603.0351810091095,2294.2875930406685,1242.223839232525
2006-12-08T00:00:00,25113.666085534078,85253.96473416417,50545.00953987701,712.9836010315877,2715.038647670868,1469.9773209045682
2006-12-09T00:00:00,27412.121008795177,93619.1683631317,55582.14338705766,849.7450767389024,3292.676371032476,1717.1861528193542
2006-12-10T00:00:00,30836.691592392734,106132.94734690725,63051.844470519514,1030.4294164024432,3983.2210162244464,2088.298916538145
2006-12-11T00:00:00,35405.37,109606.068,65109.096000000005,1131.1573992232688,4389.007771419274,2281.669918376065
2006-12-12T00:00:00,34370.04813450304,105575.1201212814,63029.80808076569,1035.321865496961,4030.9478787185913,2079.287919234314
2006-12-13T00:00:00,33217.98513450304,101308.9959212814,60832.742480765686,1152.0629999999999,4266.124199999999,2197.0656
2006-12-14T00:00:00,34783.77856137381,107132.32188046789,64466.950812071795,1136.9065731292342,4184.854040813505,2164.31166869389
2006-12-15T00:00:00,35405.37,109606.068,65109.096000000005,1181.3110800414377,4319.496305985193,2245.8882387485005
2006-12-16T00:00:00,34262.3064102227,105389.0934546288,62921.93760065865,1143.0635897773054,4216.9745453711985,2187.1583993413487
2006-12-17T00:00:00,33083.5134102227,101023.98725462881,60673.89600065866,1178.7930000000001,4365.1062,2248.0416000000005
2006-12-18T00:00:00,33695.99023940846,103315.72709354531,62269.31044478166,1169.5231708142483,4307.060161083497,2227.7855558770016
2006-12-19T00:00:00,32475.50767380526,98851.46254081042,59947.46880060713,1220.482565603196,4464.264552734896,2321.841644174528
2006-12-20T00:00:00,34131.91530549501,105029.9910280554,63838.38776911562,1432.3923683102532,5259.391512755024,2735.9610314915053
2006-12-21T00:00:00,34256.75983268042,105554.21191550118,64358.65904401993,1063.1554728145823,3874.979112554231,2028.5287250956935
2006-12-22T00:00:00,35405.37,109606.068,65109.096000000005,872.982374724759,3214.76238474317,1677.1649303323054
2006-12-23T00:00:00,34199.0592104659,105159.51896028765,62786.71744426298,1206.310789534102,4446.549039712343,2322.378555737032
2006-12-24T00:00:00,32958.7872104659,100566.75416028764,60421.43104426298,1240.272,4592.764799999999,2365.2864
2006-12-25T00:00:00,31692.87414695246,95906.16735332848,58010.45949105448,1265.9130635134431,4660.586806959173,2410.9715532085006
2006-12-26T00:00:00,35405.37,109606.068,65109.096000000005,1163.9506675986106,4254.212208134513,2213.6994531866944
2006-12-27T00:00:00,35208.71629773706,108979.59904730295,64999.4134365509,1265.853702262944,4585.748952697051,2403.6025634491048
2006-12-28T00:00:00,33912.31129773706,104178.97204730296,62527.0774365509,1296.405,4800.6269999999995,2472.3360000000002
2006-12-29T00:00:00,35405.37,109606.068,65109.096000000005,1399.8954146728238,5181.647636505692,2674.1941701725864
2006-12-30T00:00:00,34293.79096968708,105518.3293377409,62988.02536739335,1111.5790303129254,4087.7386622591025,2121.070632606654
2006-12-31T00:00:00,33264.685969687074,101707.5223377409,61025.44936739335,1029.105,3810.8070000000002,1962.5760000000002
2007-01-01T00:00:00,32210.61953872527,97824.7710934785,59017.43738222674,1054.066430961803,3882.751244262403,2008.011985166606
2007-01-02T00:00:00,35405.37,109606.068,65109.096000000005,357.95021421905176,1310.8733298191717,1977.504317415604
2007-01-03T00:00:00,35405.37,109606.068,65109.096000000005,252.83385226533167,919.5439613820006,1395.0093499046195
2007-01-04T00:00:00,35405.37,109606.068,65109.096000000005,335.13480000000004,1241.01432,1855.5264000000004
2007-01-05T00:00:00,35405.37,109606.068,65109.096000000005,365.51790000000005,1353.5238600000002,2023.7472000000002
2007-01-06T00:00:00,35405.37,109606.068,65109.096000000005,320.4036,1186.4642399999998,1773.9648
2007-01-07T00:00:00,35405.37,109606.068,65109.096000000005,308.43449999999996,1142.1422999999998,1707.6960000000001
2007-01-08T00:00:00,35405.37,109606.068,65109.096000000005,305.6724,1131.9141599999996,1692.4032000000002
2007-01-09T00:00:00,35405.37,109606.068,65109.096000000005,418.9185,1551.2678999999998,2319.408
2007-01-10T00:00:00,35405.37,109606.068,63727.646400000005,433.6497,1605.81798,2400.9696000000004
2007-01-11T00:00:00,35405.37,109606.068,62274.830400000006,446.5395,1653.5493,2472.3360000000002
2007-01-12T00:00:00,34945.9407,107904.78738,59756.06720262524,459.42930000000007,1701.2806200000002,2518.763197374766
2007-01-13T00:00:00,34499.4012,106251.23808,57334.53866858826,446.5395,1653.5493,2421.5285340369796
2007-01-14T00:00:00,35405.37,109606.068,65109.096000000005,416.5101539419778,1539.0640346590867,2225.7987619746864
2007-01-15T00:00:00,35013.100691804604,108159.7742909063,63046.092820038335,392.2693081953969,1446.29370909371,2063.0031799616722
2007-01-16T00:00:00,34974.965891804604,108018.5599709063,61827.76642003834,335.13480000000004,1241.01432,1855.5264000000004
