Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2002-07-01;206867.3873;321571.5086;305991.7645;224101.3699;501154.9788;163834.2254;131518.0796;188779.9151;57732.2976;117113.2139;113370.8564;242885.0749;95299.65448;68492.6641;43901.82585;90653.29707;282870.1422;180174.1054;174319.9139;254832.3076;302091.4743;207105.2713;174037.7476;88877.94399;259869.509;170709.1091;184487.5546;440792.8391;252473.0687;142356.5773;42585.63262;140374.0847;60898.9141;41757.40296
2002-08-01;85335.20401;139974;88126.7302;125284.245;205766.2611;115213.0769;61546.06086;123821.1654;33757.57188;80580.22195;62580.80238;171250.5376;52937.9434;37161.11648;21984.31528;60880.42295;68932.41066;60370.7673;83980.55112;169830.8423;118473.9114;95926.20993;127134.8759;58248.94899;155897.0518;54196.52438;91104.53904;209880.8556;148983.7761;105723.7186;20524.70702;72167.56511;42496.92822;30700.24869
2002-09-01;85657.79972;139452.4337;87650.41173;125022.646;202795.2018;114973.0396;61642.90524;124396.4864;33641.54595;81313.24875;61389.82272;170508.3811;53742.47253;37357.45096;22221.71411;61616.17756;70574.01913;61771.39699;83285.9019;169087.0056;121421.6516;96616.94849;126446.1651;57915.79932;154809.5405;54309.71628;90831.80666;208686.955;148561.3378;105647.398;19798.7182;72589.74266;42272.60113;30595.71335
2002-10-01;71129.22192;118252.1045;65736.56076;101610.2443;171631.6774;96679.14248;41732.11884;99966.80117;24802.22395;66841.3707;44641.46215;145222.8985;38445.02261;25382.48876;13706.89367;49207.69447;53146.72923;46379.65429;65982.99998;136069.1907;92896.28792;76789.71988;111769.4553;46113.15;117233.9616;37375.80451;74331.80684;169363.1852;126518.8744;92016.78514;12148.10792;46340.67804;35469.11117;26091.38051
2002-11-01;68559.32879;114637.9298;62765.08141;96735.76498;165103.8094;92421.9296;37748.09942;93466.96436;23031.34641;64154.21087;41763.35102;140320.6873;35671.84514;23073.22186;11975.83365;46697.91448;50505.54621;43392.63368;62951.7889;129502.0713;87659.90353;73427.52689;109018.5421;43907.49872;110397.4024;34321.38777;70887.31617;160660.5359;121709.3893;89562.0296;10851.13728;41464.90967;34223.96404;25170.20506
2002-12-01;67070.912;112691.5601;61166.48537;93786.45086;162191.0527;89872.72918;35449.14266;90082.40819;21996.88008;62505.18179;40175.72898;137377.1861;33969.17483;21609.44706;10868.01106;45113.01059;48954.08088;41608.59507;61111.55266;125324.7904;84344.43569;71369.55374;107266.6723;42492.60235;105973.1609;32463.47871;68626.48594;154789.7458;118484.3591;87987.01823;10057.12167;38432.03053;33435.57724;24591.03861
2003-01-01;66365.40949;112706.2758;60246.92488;92482.96487;156042.0649;88184.4728;34163.28603;87280.34735;21462.79004;61639.11045;39377.45932;135810.7299;32990.70096;20764.3919;10183.30143;44259.41473;48250.08953;40978.43796;60558.38245;123255.4811;82823.89355;70395.53368;106401.3927;41745.32819;103701.1056;31709.28365;67602.58806;152387.0358;116963.9522;87150.02096;9747.446828;36854.86346;33083.52122;24271.96008
2003-02-01;65306.00667;111699.7683;62474.32137;90219.78343;161913.2799;86094.74123;32376.51721;84624.85421;20596.19004;60243.65151;38039.19017;133372.0225;31691.80155;19653.73407;9229.438171;43001.78969;47197.11757;40114.2447;59238.22546;120104.5411;80154.65999;68938.22354;105217.6695;40785.91275;100542.1221;30260.15693;66003.58164;148018.4609;114495.4562;86009.30536;9272.182055;34553.50238;32600.80808;23866.36421
2003-03-01;71405.87944;115610.3808;63115.38488;98783.90837;164594.3227;94188.65991;41717.63974;96368.25943;25520.39507;66957.22765;47265.1341;146681.237;39253.64104;25436.06481;12149.36802;48595.39604;53512.64155;45120.48912;66787.48566;134609.2011;92034.03068;78206.01636;112959.3101;47099.32691;118767.5972;36885.21212;73477.96959;166523.1571;125372.2687;92324.62656;13104.67122;46229.11316;35675.09919;26115.53729
2003-04-01;76412.41837;124651.7994;72870.25291;105121.9597;178686.2776;98877.82216;46194.48692;102896.7068;27494.91665;69841.93861;51532.07052;152916.2883;42512.47913;28212.27184;13605.22132;51186.87987;59873.92026;50906.35514;72190.78285;141878.3855;100316.028;83993.18111;116831.1442;49856.87381;127407.589;41667.39982;77173.17706;173905.7894;129988.4802;95308.1131;15012.32292;51792.5157;37257.04595;27155.83822
2003-05-01;104105.5162;165622.9713;107943.4;155531.5064;240617.8379;142820.401;91881.32179;164983.2258;49708.71288;102593.3361;95681.32532;216353.086;78332.18586;56463.4282;31271.42724;77616.80049;86144.27626;80132.56234;111523.7017;216791.2152;153422.0767;126003.9225;150776.7609;77712.44752;217783.287;74582.88574;112067.8242;259670.9826;179083.6008;127238.2815;34325.29119;111324.847;53596.44556;37021.58555
2003-06-01;128381.6139;206096.9002;158218.9704;177982.3587;300382.7183;157648.1974;109595.35;185562.8028;56686.28758;113166.8551;110508.3686;237700.0215;89738.27004;65957.69656;37455.59648;86284.13308;123812.0213;106962.8863;132694.9664;241793.257;191478.6766;152328.0187;164839.8542;86725.94118;248222.9626;95151.26181;126709.4829;287907.5561;195429.1391;138225.3746;40972.37885;131842.23;59243.86454;40234.38647
2003-07-01;141373.8717;223073.5323;168250.2208;208731.8938;328148.4675;185550.3852;140039.9115;224824.1758;70393.97424;133613.8752;136505.746;275841.362;111824.2239;83585.28471;49025.45285;102398.8749;129600.6296;123336.118;153685.4235;287495.1117;214945.6923;171972.9187;184821.3415;103587.9668;311479.8603;111140.6693;146630.5819;338820.5738;224605.932;159320.0097;57350.37571;170712.8556;70361.36127;46148.53907
2003-08-01;89431.75149;146646.2535;95236.19556;124176.0796;216465.5972;112751.2629;61717.39608;122197.1405;33894.44983;79385.29301;63090.51114;171193.4516;52946.73514;36814.63194;18858.94538;59176.61083;78053.24954;65476.83012;86774.78099;164813.2617;122626.4731;100130.1026;128182.9137;58168.40386;154925.383;55094.47968;89946.65515;203545.9714;146853.1226;104949.9389;20746.4439;70100.09533;42141.63262;30169.14716
2003-09-01;99211.47394;160352.5593;104153.9215;147799.1259;232123.3613;134581.8651;82378.90863;151483.7794;45405.9577;96654.23977;85238.5093;203535.8713;72203.46594;51649.2455;27937.33791;73328.0561;82778.71335;76845.56025;104539.6768;203804.4419;145123.3649;118164.6506;145540.9559;73161.45712;203065.7423;68968.58668;107221.4438;247858.3539;172721.0813;122194.234;30559.47939;101091.71;51097.1278;35395.78629
2003-10-01;101366.1804;163725.3256;111828.9746;144432.5877;238270.051;129322.9823;79074.42927;145700.2308;43537.30881;92487.06865;80039.19894;196433.2037;67526.20465;47957.968;25101.98575;70094.53833;89608.99615;78770.01572;102367.5027;194190.4542;147293.9651;117245.626;142609.8239;69776.08019;195023.4346;68234.9419;103866.9176;237806.6618;167807.7078;117912.0026;30388.73559;92740.70156;49667.2309;34267.92759
2003-11-01;75717.47464;126430.9859;74908.39756;106121.6694;184238.3537;98094.22231;44671.96047;101332.7032;26378.2154;68259.54527;46879.97264;149198.959;40826.80571;27199.79212;13061.35824;50392.23361;58735.81177;50561.53625;70873.69162;139777.2986;99219.36285;81495.8235;116020.4015;48652.03303;124577.5355;40736.40668;77233.1357;174973.0811;130571.3328;94049.52729;14368.83093;49949.26196;36649.281;26857.41618
2003-12-01;71954.39065;119360.4147;67545.17859;102290.3613;174156.7476;95381.27625;41922.93495;97490.00108;25269.49963;66637.47078;44248.48419;145467.0106;38690.26208;25617.16461;12176.55315;49012.60078;53769.16158;47137.32791;67487.68222;135484.3587;93651.26753;77742.07681;113664.1173;47055.28128;118988.7378;37825.00425;74768.09174;169914.289;127540.5418;92483.58285;13049.75058;46649.96302;35795.53065;26222.37557
2004-01-01;68286.21501;114241.5819;62666.98176;96269.03486;165293.066;90839.28037;37140.5831;91561.46836;22947.49895;63355.97259;40508.40068;139140.1795;35267.31142;22726.89906;10394.84042;46013.39918;49992.25992;43171.12613;62978.85936;127500.9137;86732.89347;73103.27518;109723.6873;44060.5697;109861.5936;33765.07455;70370.05162;158870.5734;121317.2225;89253.20327;11148.09765;40372.52694;34169.67827;25094.29961
2004-02-01;66025.31236;111269.4025;59938.04544;92119.3893;160399.6321;87822.20078;34076.66731;87866.87887;21550.93199;61336.28047;38700.08218;135352.1397;33045.87507;20757.92482;9286.75168;44010.93811;47725.6313;40629.5684;60241.3196;122169.4472;82068.44079;70215.10738;107003.9917;42043.19018;103902.915;31258.41826;67614.35866;152249.342;117324.9013;87196.56265;9949.334085;36427.72517;33103.63698;24292.08791
2004-03-01;77422.16545;126306.849;75393.79263;111227.0805;182412.7221;103201.5646;50621.85699;109467.0997;29676.51495;73665.29024;53939.73881;157470.5279;45569.08053;30193.46085;14863.06965;53832.20047;59506.46299;51777.08548;73276.57539;149119.6353;103106.6658;85188.50112;118128.0448;51982.46759;133034.4504;44572.45588;81188.77387;186784.3387;135514.5818;98347.27585;16742.00575;57804.08478;38713.07668;27960.09699
2004-04-01;79611.87959;130641.2516;81292.88435;111224.2513;187797.982;102879.2295;50664.37697;108169.1852;29100.15357;73171.91452;54068.04228;157221.5878;45092.19235;30077.00765;14934.34024;53625.50032;63440.66978;54055.75508;74656.71998;148963.4793;104958.9382;86671.81957;118121.2953;51781.65758;132595.2591;46124.36056;81537.65309;185732.8055;134853.7863;98282.31061;16804.94446;57454.75656;38760.73846;27977.39804
2004-05-01;129096.7916;199772.8307;139115.6244;197933.8739;288651.9914;177922.5111;133543.3674;213735.3573;67157.90731;130296.9975;127784.2097;263401.135;105503.4181;77563.2534;45404.82312;98668.53905;108310.7607;104647.9297;139019.8567;276377.0936;194336.2205;156960.5391;173706.7609;98394.20378;283799.6049;101929.4894;140823.212;333055.8157;216637.7435;154749.4998;51367.24341;162286.2024;68180.66096;44627.02167
2004-06-01;289929.2421;450504.6029;402597.2128;407414.9537;664891.9687;340826.54;313627.6145;437458.7545;146866.2161;252240.9589;292114.2297;500670.8293;237175.2977;183552.2983;115964.2135;197304.8658;335226.1262;282491.3778;319200.5281;558955.9736;478258.1663;367329.7348;308499.0098;201127.3098;641086.9174;277755.7704;284658.8302;645780.1738;394765.1153;281631.9015;134469.6532;392316.9451;133930.7739;81118.43991
2004-07-01;139383.1619;239924.8495;208466.3165;178924.8183;430566.3357;140005.488;99693.8467;159169.6858;45710.91682;98940.40239;86176.59473;207458.2157;73819.7903;53242.77216;29805.54503;75834.32615;148896.6311;107167.6698;127932.3417;211764.4036;182751.8198;134763.2425;148426.1545;74212.34822;207603.3833;109296.17;146012.1374;354671.4764;215089.0253;125381.4998;32595.52869;107743.1935;52733.57034;36405.32577
2004-08-01;141702.0292;218165.6048;160331.7604;223737.9584;322096.3483;199451.3454;150062.2301;241186.2259;75383.04073;144516.9615;142983.0844;290375.1154;121391.3512;91351.72176;54543.06203;112035.1292;124139.5994;120082.4289;157095.7417;313212.7948;220859.4418;177761.5271;191141.8962;111874.7245;327748.4407;117640.8248;156436.3657;367240.6297;237610.4915;170968.0238;59600.41541;191411.3746;76044.99489;49623.90465
2004-09-01;83511.98637;134576.1584;87828.23575;119629.5841;203151.1202;108466.1829;55792.3395;114976.3613;30232.28985;75541.70251;53396.41285;160226.9161;47550.37576;32800.03694;16508.96779;56582.13848;69066.95187;58755.92995;77592.76199;156422.9053;112529.4753;90627.45774;121782.8035;54205.76996;142006.9546;49965.18463;85201.0442;192990.3545;139683.3655;101388.7078;19195.86088;63555.38732;40414.25031;29094.36241
2004-10-01;85626.68824;123402.6572;83993.61563;113105.4239;184734.6311;104283.9775;50390.29759;109191.905;28677.88187;73264.49579;50372.82515;154977.6024;45004.64666;30299.9298;14795.07726;54308.23892;57569.77344;51223.52421;71701.44814;150167.9242;102044.5787;83247.23947;118009.6146;52062.74235;132473.401;43471.80766;81017.24553;185985.8494;135485.8747;98627.83921;16346.16119;58327.98779;38887.52353;28274.1327
2004-11-01;73718.60558;120008.3002;71027.29368;106692.0369;178808.1164;98909.04951;45127.20484;102264.8985;26098.82042;69280.71052;46486.69052;148484.8047;40827.52991;27008.72496;12870.60611;50800.90731;55246.19883;47899.19221;68221.16286;140890.8327;95980.77571;79320.84918;114219.5374;48637.47668;122512.3494;39784.47461;76545.73327;174314.8928;129111.8839;94941.998;14219.57646;51137.92419;36975.92738;26951.8683
2004-12-01;69973.71823;115485.6935;68971.14551;101702.5069;170784.4834;93912.2293;39856.73735;95071.59054;23709.39946;65580.92612;42579.8825;141803.3202;37043.02901;23940.32398;11094.6773;47551.68414;51424.05421;46096.37278;64424.38442;132292.5256;89205.52218;74681.70476;110374.6723;45324.91529;112982.3009;35594.7158;71883.82977;162520.9966;122753.9703;91393.27133;12127.49366;44323.04263;35111.50539;25715.15805
2005-01-01;67863.24567;110151.0501;60760.17737;93788.47861;157744.4093;89779.17266;36968.62507;90701.46096;22581.98494;63601.64416;40928.2077;138440.5285;35044.03201;22193.95807;10039.21773;45701.99472;49301.99933;41208.26894;61456.43431;127070.7604;85146.78741;72101.31562;108170.2087;43718.18894;107674.0086;33208.81444;69335.21354;156343.572;119322.4958;89278.63705;10994.6368;40440.10654;34062.49478;25085.83134
2005-02-01;71116.71746;116303.6202;63046.6876;99184.67867;164588.336;93067.66176;40556.18799;94813.37106;24250.13521;66335.16222;44715.98679;143728.8716;37690.91928;24186.99977;11160.29915;47777.13615;53143.1517;44932.30426;65816.36721;133231.3063;90989.84563;76236.82004;110981.9834;45956.38078;114232.3025;36878.62676;72889.69034;165548.8136;124048.4183;92293.98823;12536.39308;44974.28834;35361.38695;25887.54094
2005-03-01;96715.06262;152334.1985;96822.70718;137870.1514;216296.0773;122711.8607;73099.95836;134099.0095;39927.61686;89750.3593;74419.27528;187107.2145;61870.42844;42990.90743;24006.32483;67206.13879;85826.44093;69071.24394;92993.70682;183827.7826;134887.8332;108296.3347;134136.4843;66404.17814;175508.6195;66007.05779;99585.36208;232702.2743;160158.7354;114336.133;25072.16334;84981.59337;47256.39546;33208.28578
2005-04-01;80412.50288;129796.4426;77791.87256;111980.9303;184496.0904;102243.0761;49169.94935;106170.4996;28485.31079;72477.59843;53173.90591;155876.5233;44029.86377;29371.71033;15069.05285;53278.45091;62341.04508;50481.107;72248.82478;146393.8758;101386.8442;84436.20586;117162.0923;51687.51687;131338.5948;44606.73934;80537.66817;185978.1053;134635.5329;97515.03897;15703.8762;55019.18739;38467.95309;27871.03531
2005-05-01;114131.7068;181647.1982;122703.122;169705.1218;253317.7521;149179.2222;100470.5426;170433.0647;52331.71856;108762.4662;98230.45814;222355.6316;82386.6334;59150.95496;35053.74107;82739.64536;108281.8605;89120.04769;115730.2691;226234.2153;168450.2149;133517.9529;153530.9476;82661.01694;228649.2269;87331.48527;120395.0018;284318.6316;188624.3384;133274.4974;35933.22694;119619.0012;57140.89948;38869.78796
