Date;U_init;etp;prec;FC;WP;zr;dg;kc;area;ES;int
2008-11-01;15.02515528;143.939;82.78697;26;12;189.77;1.31;0.7651332;637200;7.32943;17.3836
2008-12-01;15.07512531;144.705;116.5385;26;12;189.77;1.31;0.7651332;637200;12.7765;18.254
2009-01-01;16.46454046;139.151;282.1474;26;12;189.77;1.31;0.7967602;637200;53.7865;11.9731
2009-02-01;23.90666521;119.567;152.30871;26;12;189.77;1.31;0.7967602;637200;28.6717;7.79459
2009-03-01;25.6625105;113.566;124.93264;26;12;189.77;1.31;0.7967602;637200;21.6262;7.67916
2009-04-01;26.31158816;91.9104;17.906481;26;12;189.77;1.31;0.7967602;637200;0.699749;6.50157
2009-05-01;23.27073498;73.0171;50.91033;26;12;189.77;1.31;0.76983637;637200;2.47587;12.1166
2009-06-01;22.52767594;68.4876;27.458418;26;12;189.77;1.31;0.76983637;637200;0.832682;10.5077
2009-07-01;21.03189678;75.3229;55.70618;26;12;189.77;1.31;0.76983637;637200;2.22762;16.6662
2009-08-01;20.65145132;120.596;80.72412;26;12;189.77;1.31;0.7694492;637200;3.52928;22.3096
2009-09-01;20.06639461;116.184;124.91879;26;12;189.77;1.31;0.7694492;637200;9.06731;18.9139
2009-10-01;21.45309557;130.141;125.123;26;12;189.77;1.31;0.8156176;637200;10.8444;13.0826
2009-11-01;21.72880602;142.07;175.27493;26;12;189.77;1.31;0.8156176;637200;25.9863;8.71177
2009-12-01;23.73931851;137.3;214.35655;26;12;189.77;1.31;0.8156176;637200;36.4538;8.81465
2010-01-01;27.19988266;137.763;249.65999;26;12;189.77;1.31;0.8156176;637200;51.1298;7.63521
2010-02-01;31.68118043;117.936;62.56659;26;12;189.77;1.31;0.8156176;637200;7.39322;4.61519
2010-03-01;28.82096623;118.666;89.22076;26;12;189.77;1.31;0.8156176;637200;13.1484;4.80384
2010-04-01;27.35818698;91.4726;77.53474;26;12;189.77;1.31;0.8156176;637200;8.91466;5.8674
2010-05-01;26.44031262;74.1088;30.85114;26;12;189.77;1.31;0.77670825;637200;1.16166;14.6622
2010-06-01;24.67700608;74.761;10.170136;26;12;189.77;1.31;0.77670825;637200;0.175564;10.0375
2010-07-01;22.16705841;88.7475;37.83179;26;12;189.77;1.31;0.77670825;637200;1.27851;20.6062
2010-08-01;20.74893621;124.185;0;26;12;189.77;1.31;0.77456826;637200;0;0
2010-09-01;16.75456822;130.314;54.56635;26;12;189.77;1.31;0.77456826;637200;2.26465;22.5073
2010-10-01;15.73611913;139.504;93.67251;26;12;189.77;1.31;0.7739263;637200;6.67469;21.0078
2010-11-01;16.22095588;147.076;31.34718;26;12;189.77;1.31;0.7739263;637200;1.39622;11.2263
2010-12-01;13.70540307;134.863;193.8978;26;12;189.77;1.31;0.7739263;637200;28.3165;14.9357
2011-01-01;19.01961657;136.149;365.3957;26;12;189.77;1.31;0.7739263;637200;80.4525;13.3108
2011-02-01;29.65834545;113.078;222.23328;26;12;189.77;1.31;0.7739263;637200;51.8273;8.76442
2011-03-01;33.91700122;111.058;130.31405;26;12;189.77;1.31;0.7739263;637200;24.5095;8.46645
2011-04-01;34.06222686;85.8617;89.5362;26;12;189.77;1.31;0.7739263;637200;11.9057;10.0831
2011-05-01;33.42181594;71.5776;24.355922;26;12;189.77;1.31;0.69833225;637200;0.658178;6.8609
2011-06-01;30.83526949;69.2941;37.10288;26;12;189.77;1.31;0.69833225;637200;1.38906;7.58306
2011-07-01;29.11398807;85.4568;4.7101494;26;12;189.77;1.31;0.69833225;637200;0.0286406;4.90123
2011-08-01;25.77473131;114.738;16.71426;26;12;189.77;1.31;0.69866455;637200;0.21424;10.2887
2011-09-01;22.48063492;132.388;2.09058491;26;12;189.77;1.31;0.69866455;637200;0.00660509;3.08398
2011-10-01;18.44288166;136.159;153.4984;26;12;189.77;1.31;0.77326804;637200;15.6305;22.4261
2011-11-01;20.89349405;140.811;86.1578;26;12;189.77;1.31;0.77326804;637200;8.1801;13.7241
2011-12-01;20.01291492;136.678;135.2689;26;12;189.77;1.31;0.77326804;637200;17.0924;14.4867
2012-01-01;21.36413256;135.021;217.6657;26;12;189.77;1.31;0.77326804;637200;39.4752;12.9831
2012-02-01;25.84230736;118.306;104.84068;26;12;189.77;1.31;0.77326804;637200;16.6147;8.29462
2012-03-01;25.69393174;112.464;76.48696;26;12;189.77;1.31;0.7964754;637200;9.78837;4.82467
2012-04-01;24.37780212;83.0701;107.5136;26;12;189.77;1.31;0.86117935;637200;15.391;14.8204
2012-05-01;25.26771703;67.5827;63.56273;26;12;189.77;1.31;0.86117935;637200;4.21807;25.2942
2012-06-01;24.85275437;59.9076;171.4258;26;12;189.77;1.31;0.86117935;637200;21.5938;29.8014
2012-07-01;29.06010204;83.0333;3.6001134;26;12;189.77;1.31;0.797741;637200;0.0235466;6.77044
2012-08-01;25.43987341;115.444;0.015010927;26;12;189.77;1.31;0.7665035;637200;5.73E-07;0.0599885
2012-09-01;21.16796955;126.926;94.31002;26;12;189.77;1.31;0.70180714;637200;5.43128;13.4127
2012-10-01;21.24345614;140.023;63.76073;26;12;189.77;1.31;0.74507;637200;3.40957;14.3261
2012-11-01;19.47600897;142.472;83.1484;26;12;189.77;1.31;0.74507;637200;7.4085;9.8151
2012-12-01;18.66510136;135.756;106.8468;26;12;189.77;1.31;0.74507;637200;11.237;10.1042
2013-01-01;19.09642281;138.621;187.80039;26;12;189.77;1.31;0.7022824;637200;30.2237;1.67591
2013-02-01;22.58475123;114.225;144.02211;26;12;189.77;1.31;0.7022824;637200;25.9706;1.10829
2013-03-01;24.55339083;112.693;204.97803;26;12;189.77;1.31;0.80758286;637200;45.0763;6.99467
2013-04-01;28.45596377;84.7199;81.55804;26;12;189.77;1.31;0.80758286;637200;9.84225;8.04971
2013-05-01;27.85633565;70.9703;123.7174;26;12;189.77;1.31;0.8448054;637200;13.0868;28.4718
2013-06-01;29.54863381;61.0195;47.56991;26;12;189.77;1.31;0.9015829;637200;3.17409;39.0677
2013-07-01;28.26802557;75.1619;8.446313;26;12;189.77;1.31;0.9032097;637200;0.192587;29.3681
2013-08-01;25.07286508;122.774;0.036215008;26;12;189.77;1.31;0.73452795;637200;1.59E-06;0.0957234
2013-09-01;20.73861714;114.582;41.26676;26;12;189.77;1.31;0.70290935;637200;1.29984;13.7857
2013-10-01;19.09180096;138.7;124.4653;26;12;189.77;1.31;0.8037209;637200;11.9347;37.072
2013-11-01;20.43091585;142.182;68.53188;26;12;189.77;1.31;0.8037209;637200;5.98912;22.329
2013-12-01;18.9449144;138.167;59.73964;26;12;189.77;1.31;0.8028256;637200;4.68026;21.6783
2014-01-01;17.43088843;141.345;74.70921;26;12;189.77;1.31;0.82632023;637200;7.11979;16.7741
2014-02-01;16.39123037;119.53;71.33954;26;12;189.77;1.31;0.82632023;637200;8.38346;11.477
2014-03-01;15.92549851;113.951;119.5414;26;12;189.77;1.31;0.87615067;637200;18.4745;10.0181
2014-04-01;17.21328321;86.3989;67.86233;26;12;189.77;1.31;0.8375764;637200;6.48074;7.85373
2014-05-01;17.07983133;70.9722;70.4971;26;12;189.77;1.31;0.7822241;637200;4.0992;11.6215
2014-06-01;17.66033492;64.7454;0;26;12;189.77;1.31;0.78201896;637200;0;0
2014-07-01;15.55572321;78.8022;22.088662;26;12;189.77;1.31;0.74717855;637200;0.391108;9.85393
2014-08-01;14.30756124;111.796;5.6746592;26;12;189.77;1.31;0.7442028;637200;0.0295908;6.26785
2014-09-01;11.91963052;117.697;88.52286;26;12;189.77;1.31;0.71534175;637200;4.30524;10.5879
2014-10-01;14.0952776;144.815;3.3496967;26;12;189.77;1.31;0.76847684;637200;0.0175433;4.1554
2014-11-01;10.75424331;141.542;164.41391;26;12;189.77;1.31;0.76187736;637200;20.5494;8.70069
2014-12-01;16.80835973;135.993;217.66986;26;12;189.77;1.31;0.75388724;637200;34.7203;8.47684
2015-01-01;21.77472257;138.26;81.07727;26;12;189.77;1.31;0.75425345;637200;8.01885;6.75538
2015-02-01;20.50788905;112.142;157.22969;26;12;189.77;1.31;0.75425345;637200;29.4542;4.81711
2015-03-01;23.1878706;110.763;182.45975;26;12;189.77;1.31;0.75425345;637200;37.5095;4.85575
2015-04-01;26.62182809;85.1487;41.86673;26;12;189.77;1.31;0.81968355;637200;3.26197;10.3289
2015-05-01;24.68441086;64.0601;67.89093;26;12;189.77;1.31;0.81968355;637200;4.54947;21.1688
2015-06-01;24.72593512;68.3332;6.3471363;26;12;189.77;1.31;0.81911075;637200;0.0857037;9.56716
2015-07-01;22.06610436;75.2619;69.76222;26;12;189.77;1.31;0.7841282;637200;3.48338;21.1794
2015-08-01;22.15399201;110.221;8.0368639;26;12;189.77;1.31;0.76812047;637200;0.0695361;10.4955
2015-09-01;18.67613366;110.667;143.7693;26;12;189.77;1.31;0.7722191;637200;11.4653;18.0644
2015-10-01;21.01159745;132.188;88.25083;26;12;189.77;1.31;0.8152247;637200;6.26157;19.8656
2015-11-01;20.06302858;131.292;216.1702;26;12;189.77;1.31;0.8224797;637200;36.1926;14.3222
2015-12-01;24.34510665;130.514;148.4726;26;12;189.77;1.31;0.8224797;637200;20.7691;13.9173
2016-01-01;25.37744585;136.718;314.6381;26;12;189.77;1.31;0.8224797;637200;70.5816;12.5803
2016-02-01;32.79878516;116.006;172.72672;26;12;189.77;1.31;0.8224797;637200;37.5011;8.21618
2016-03-01;34.32514834;108.574;106.26514;26;12;189.77;1.31;0.8090262;637200;17.9202;5.89466
2016-04-01;33.25276044;85.7353;35.74657;26;12;189.77;1.31;0.8090262;637200;2.41453;6.2139
2016-05-01;30.2709295;70.4961;107.47098;26;12;189.77;1.31;0.80687743;637200;9.67522;12.6168
2016-06-01;30.860214;65.7975;94.84946;26;12;189.77;1.31;0.7454653;637200;7.93164;14.2169
2016-07-01;31.54422379;87.485;2.858501;26;12;189.77;1.31;0.7412803;637200;0.015659;5.61525
2016-08-01;27.69871141;114.134;41.73137;26;12;189.77;1.31;0.7262949;637200;1.16143;17.3745
2016-09-01;25.19849603;124.41;11.644015;26;12;189.77;1.31;0.7685408;637200;0.155645;9.79344
2016-10-01;21.1556667;139.819;103.22966;26;12;189.77;1.31;0.73753446;637200;7.78874;10.9876
