Date;U_init;etp;prec;FC;WP;dg;kc;area
01/06/2015;21.75777455;68.3332;3.7287408;26;12;1.31;0.9248028;297000
01/07/2015;18.96281871;75.2619;35.67475;26;12;1.31;0.9333428;297000
01/08/2015;17.48589647;110.221;3.9111819;26;12;1.31;0.8990872;297000
01/09/2015;13.96876402;110.667;118.45971;26;12;1.31;0.8620778;297000
01/10/2015;15.90210936;132.188;75.13364;26;12;1.31;0.8640457;297000
01/11/2015;14.98920794;131.292;207.9342;26;12;1.31;0.8716107;297000
01/12/2015;19.52085506;130.514;139.0037;26;12;1.31;0.8716107;297000
01/01/2016;20.50183952;136.718;309.1739;26;12;1.31;0.8716107;297000
01/02/2016;27.99683754;116.006;168.1069;26;12;1.31;0.8716107;297000
01/03/2016;29.61293712;108.574;94.5511;26;12;1.31;0.9090332;297000
01/04/2016;28.17138034;85.7353;25.95422;26;12;1.31;0.9090332;297000
01/05/2016;25.01001769;70.4961;87.14054;26;12;1.31;0.8904473;297000
01/06/2016;25.06736796;65.7975;80.83484;26;12;1.31;0.8688699;297000
01/07/2016;25.1226117;87.485;2.6586709;26;12;1.31;0.80777204;297000
01/08/2016;21.65934441;114.134;29.197911;26;12;1.31;0.7615109;297000
01/09/2016;19.27582685;124.41;8.953053;26;12;1.31;0.7447749;297000
01/10/2016;16.02631139;139.819;96.97764;26;12;1.31;0.7116395;297000
01/11/2016;16.89730801;143.189;63.35632;26;12;1.31;0.83374506;297000
01/12/2016;15.00625049;139.617;127.319;26;12;1.31;0.83374506;297000
01/01/2017;16.26197069;136.213;298.6954;26;12;1.31;0.83374506;297000
01/02/2017;23.999419;118.167;117.86108;26;12;1.31;0.83374506;297000
01/03/2017;24.01648242;118.239;90.3265;26;12;1.31;0.86438745;297000
01/04/2017;22.9138002;90.5259;91.4669;26;12;1.31;0.86438745;297000
01/05/2017;22.85918745;70.7188;151.5703;26;12;1.31;0.90357447;297000
01/06/2017;25.18943155;67.3497;4.7074191;26;12;1.31;0.9163419;297000
01/07/2017;22.19843546;88.9193;0.055489206;26;12;1.31;0.8451343;297000
01/08/2017;18.7900866;113.049;52.65922;26;12;1.31;0.79364574;297000
01/09/2017;17.33352015;133.426;9.314841;26;12;1.31;0.7621497;297000
01/10/2017;14.02108979;137.152;106.85582;26;12;1.31;0.75208575;297000
01/11/2017;15.92724291;141.682;190.4496;26;12;1.31;0.78616875;297000
01/12/2017;19.9479524;137.075;133.1612;26;12;1.31;0.7899933;297000
01/01/2018;21.09395115;138.08;199.41185;26;12;1.31;0.6843279;297000
01/02/2018;24.83510171;117.307;99.50944;26;12;1.31;0.6843279;297000
01/03/2018;24.74250014;112.418;74.04547;26;12;1.31;0.8908823;297000
01/04/2018;23.06729976;87.0549;11.749958;26;12;1.31;0.8794986;297000
01/05/2018;20.011281;72.6764;8.3962877;26;12;1.31;0.7794195;297000
01/06/2018;17.73048889;64.8662;13.172663;26;12;1.31;0.73405194;297000
01/07/2018;16.26445286;81.1127;1.28084651;26;12;1.31;0.6225112;297000
01/08/2018;14.31489115;113.933;80.16552;26;12;1.31;0.6258622;297000
